TF,Target
AT1G09530,AT4G27310
AT1G09530,AT4G27300
AT1G09530,AT4G27950
AT1G09530,AT4G28650
AT1G09530,AT4G28660
AT1G09530,AT4G28720
AT1G09530,AT4G29090
AT1G09530,AT4G29130
AT1G09530,AT4G31390
AT1G09530,AT4G32020
AT1G09530,AT4G32280
AT1G09530,AT4G32272
AT1G09530,AT4G32480
AT1G09530,AT4G34000
AT1G09530,AT4G33990
AT1G09530,AT4G35090
AT1G09530,AT4G35100
AT1G09530,AT4G35470
AT1G09530,AT4G35850
AT1G09530,AT4G36770
AT1G09530,AT4G36860
AT1G09530,AT4G37390
AT1G09530,AT4G37470
AT1G09530,AT4G37480
AT1G09530,AT4G38470
AT1G09530,AT4G39400
AT1G09530,AT4G39404
AT1G09530,AT5G02570
AT1G09530,AT5G02580
AT1G09530,AT5G02590
AT1G09530,AT5G03210
AT1G09530,AT5G04110
AT1G09530,AT5G04120
AT1G09530,AT5G05970
AT1G09530,AT5G05965
AT1G09530,AT5G06530
AT1G09530,AT5G07010
AT1G09530,AT5G07920
AT1G09530,AT5G07930
AT1G09530,AT5G08130
AT1G09530,AT5G08139
AT1G09530,AT5G09810
AT1G09530,AT5G10740
AT1G09530,AT5G10745
AT1G09530,AT5G13730
AT1G09530,AT5G13740
AT1G09530,AT5G14690
AT1G09530,AT5G16210
AT1G09530,AT5G18650
AT1G09530,AT5G19100
AT1G09530,AT5G24600
AT1G09530,AT5G24610
AT1G09530,AT5G25460
AT1G09530,AT5G25451
AT1G09530,AT5G26146
AT1G09530,AT5G27925
AT1G09530,AT5G27920
AT1G09530,AT5G28300
AT1G09530,AT5G39570
AT1G09530,AT5G39560
AT1G09530,AT5G41130
AT1G09530,AT5G41140
AT1G09530,AT5G43060
AT1G09530,AT5G45580
AT1G09530,AT5G47370
AT1G09530,AT5G47820
AT1G09530,AT5G47818
AT1G09530,AT5G48543
AT1G09530,AT5G48540
AT1G09530,AT5G48900
AT1G09530,AT5G51210
AT1G09530,AT5G53220
AT1G09530,AT5G53540
AT1G09530,AT5G53550
AT1G09530,AT5G53588
AT1G09530,AT5G53580
AT1G09530,AT5G53590
AT1G09530,AT5G53760
AT1G09530,AT5G53980
AT1G09530,AT5G54470
AT1G09530,AT5G54480
AT1G09530,AT5G54510
AT1G09530,AT5G54530
AT1G09530,AT5G54520
AT1G09530,AT5G54590
AT1G09530,AT5G56980
AT1G09530,AT5G58600
AT1G09530,AT5G58660
AT1G09530,AT5G58650
AT1G09530,AT5G59220
AT1G09530,AT5G59230
AT1G09530,AT5G59790
AT1G09530,AT5G60680
AT1G09530,AT5G60670
AT1G09530,AT5G60840
AT1G09530,AT5G61960
AT1G09530,AT5G61970
AT1G09530,AT5G62000
AT1G09530,AT5G62660
AT1G09530,AT5G62670
AT1G09530,AT5G63800
AT1G09530,AT5G63790
AT1G09530,AT5G64250
AT1G09530,AT5G64260
AT1G09530,AT5G65300
AT1G09530,AT5G65640
AT1G09530,AT5G66320
AT1G09530,AT5G66580
AT1G09530,AT5G67411
AT1G09530,AT1G01830
AT1G09530,AT1G01840
AT1G09530,AT1G02990
AT1G09530,AT1G04360
AT1G09530,AT1G06850
AT1G09530,AT1G06840
AT1G09530,AT1G10682
AT1G09530,AT1G11210
AT1G09530,AT1G12110
AT1G09530,AT1G13245
AT1G09530,AT1G13260
AT1G09530,AT1G15550
AT1G09530,AT1G18400
AT1G09530,AT1G24590
AT1G09530,AT1G24600
AT1G09530,AT1G31950
AT1G09530,AT1G31940
AT1G09530,AT1G32060
AT1G09530,AT1G33240
AT1G09530,AT1G50460
AT1G09530,AT1G50450
AT1G09530,AT1G53750
AT1G09530,AT1G55020
AT1G09530,AT1G56600
AT1G09530,AT1G56590
AT1G09530,AT1G64090
AT1G09530,AT1G64080
AT1G09530,AT1G66560
AT1G09530,AT1G68190
AT1G09530,AT1G68490
AT1G09530,AT1G68620
AT1G09530,AT1G69030
AT1G09530,AT1G69260
AT1G09530,AT1G70760
AT1G09530,AT1G70750
AT1G09530,AT1G71520
AT1G09530,AT1G72990
AT1G09530,AT1G73000
AT1G09530,AT1G74088
AT1G09530,AT1G74780
AT1G09530,AT1G74770
AT1G09530,AT1G75170
AT1G09530,AT1G76600
AT1G09530,AT1G77000
AT1G09530,AT1G80460
AT1G09530,AT2G03710
AT1G09530,AT2G03700
AT1G09530,AT2G04350
AT1G09530,AT2G18160
AT1G09530,AT2G18162
AT1G09530,AT2G18170
AT1G09530,AT2G19460
AT1G09530,AT2G25460
AT1G09530,AT2G25470
AT1G09530,AT2G32930
AT1G09530,AT2G33380
AT1G09530,AT2G34186
AT1G09530,AT2G34190
AT1G09530,AT2G36080
AT1G09530,AT2G36090
AT1G09530,AT2G39450
AT1G09530,AT2G39460
AT1G09530,AT2G41745
AT1G09530,AT2G44450
AT1G09530,AT2G44440
AT1G09530,AT2G44500
AT1G09530,AT2G45050
AT1G09530,AT2G46300
AT1G09530,AT2G46290
AT1G09530,AT2G46535
AT1G09530,AT2G46790
AT1G09530,AT2G47430
AT1G09530,AT2G47440
AT1G09530,AT3G03790
AT1G09530,AT3G06125
AT1G09530,AT3G06868
AT1G09530,AT3G07360
AT1G09530,AT3G07390
AT1G09530,AT3G07380
AT1G09530,AT3G14590
AT1G09530,AT3G14595
AT1G09530,AT3G15210
AT1G09530,AT3G15200
AT1G09530,AT3G15510
AT1G09530,AT3G17110
AT1G09530,AT3G17860
AT1G09530,AT3G17850
AT1G09530,AT3G18750
AT1G09530,AT3G19390
AT1G09530,AT3G19380
AT1G09530,AT3G19820
AT1G09530,AT3G20820
AT1G09530,AT3G23230
AT1G09530,AT3G23910
AT1G09530,AT3G23920
AT1G09530,AT3G44310
AT1G09530,AT3G45230
AT1G09530,AT3G45220
AT1G09530,AT3G47630
AT1G09530,AT3G47640
AT1G09530,AT3G48060
AT1G09530,AT3G48070
AT1G09530,AT3G48270
AT1G09530,AT3G48260
AT1G09530,AT3G49120
AT1G09530,AT3G49810
AT1G09530,AT3G49820
AT1G09530,AT3G49950
AT1G09530,AT3G50660
AT1G09530,AT3G50665
AT1G09530,AT3G53380
AT1G09530,AT3G53390
AT1G09530,AT3G55240
AT1G09530,AT3G55250
AT1G09530,AT3G55610
AT1G09530,AT3G55620
AT1G09530,AT3G56275
AT1G09530,AT3G58060
AT1G09530,AT3G58620
AT1G09530,AT3G61460
AT1G09530,AT3G61470
AT1G09530,AT3G62090
AT1G09530,AT4G11600
AT1G09530,AT4G12130
AT1G09530,AT4G12120
AT1G09530,AT4G18150
AT1G09530,AT4G18140
AT1G09530,AT4G18230
AT1G09530,AT4G18240
AT1G09530,AT4G18630
AT1G09530,AT4G18890
AT1G09530,AT4G18880
AT1G09530,AT4G19040
AT1G09530,AT4G23440
AT1G09530,AT4G25470
AT1G09530,AT4G25480
AT1G09530,AT4G25530
AT1G09530,AT4G25520
AT1G09530,AT4G28630
AT1G09530,AT4G28640
AT1G09530,AT4G30074
AT1G09530,AT4G31080
AT1G09530,AT4G34530
AT1G09530,AT4G34540
AT1G09530,AT4G36010
AT1G09530,AT4G36670
AT1G09530,AT4G36730
AT1G09530,AT4G36740
AT1G09530,AT4G36780
AT1G09530,AT4G36790
