TF,Target
AT3G59060,AT1G01250
AT3G59060,AT1G01260
AT3G59060,AT1G01650
AT3G59060,AT1G01720
AT3G59060,AT1G01830
AT3G59060,AT1G01840
AT3G59060,AT1G02340
AT3G59060,AT1G02350
AT3G59060,AT1G02660
AT3G59060,AT1G02670
AT3G59060,AT1G03590
AT3G59060,AT1G03600
AT3G59060,AT1G03610
AT3G59060,AT1G03982
AT3G59060,AT1G03990
AT3G59060,AT1G04171
AT3G59060,AT1G04180
AT3G59060,AT1G04684
AT3G59060,AT1G04690
AT3G59060,AT1G05100
AT3G59060,AT1G05870
AT3G59060,AT1G05880
AT3G59060,AT1G06400
AT3G59060,AT1G06410
AT3G59060,AT1G06770
AT3G59060,AT1G06780
AT3G59060,AT1G06840
AT3G59060,AT1G06850
AT3G59060,AT1G07090
AT3G59060,AT1G07100
AT3G59060,AT1G07200
AT3G59060,AT1G07210
AT3G59060,AT1G07420
AT3G59060,AT1G07500
AT3G59060,AT1G07510
AT3G59060,AT1G07645
AT3G59060,AT1G07660
AT3G59060,AT1G07670
AT3G59060,AT1G07680
AT3G59060,AT1G08200
AT3G59060,AT1G08560
AT3G59060,AT1G08570
AT3G59060,AT1G09520
AT3G59060,AT1G09530
AT3G59060,AT1G09970
AT3G59060,AT1G10090
AT3G59060,AT1G10410
AT3G59060,AT1G10550
AT3G59060,AT1G10560
AT3G59060,AT1G11880
AT3G59060,AT1G11890
AT3G59060,AT1G11970
AT3G59060,AT1G12110
AT3G59060,AT1G12240
AT3G59060,AT1G12420
AT3G59060,AT1G12451
AT3G59060,AT1G12460
AT3G59060,AT1G13080
AT3G59060,AT1G13240
AT3G59060,AT1G13245
AT3G59060,AT1G13250
AT3G59060,AT1G13260
AT3G59060,AT1G13740
AT3G59060,AT1G13950
AT3G59060,AT1G14330
AT3G59060,AT1G14340
AT3G59060,AT1G14910
AT3G59060,AT1G14920
AT3G59060,AT1G14910
AT3G59060,AT1G14920
AT3G59060,AT1G14910
AT3G59060,AT1G14920
AT3G59060,AT1G15550
AT3G59060,AT1G15750
AT3G59060,AT1G16850
AT3G59060,AT1G16858
AT3G59060,AT1G17110
AT3G59060,AT1G17120
AT3G59060,AT1G17230
AT3G59060,AT1G17940
AT3G59060,AT1G17950
AT3G59060,AT1G18400
AT3G59060,AT1G18740
AT3G59060,AT1G18835
AT3G59060,AT1G18870
AT3G59060,AT1G19110
AT3G59060,AT1G19210
AT3G59060,AT1G19220
AT3G59060,AT1G19310
AT3G59060,AT1G19320
AT3G59060,AT1G19450
AT3G59060,AT1G19460
AT3G59060,AT1G19570
AT3G59060,AT1G19580
AT3G59060,AT1G19660
AT3G59060,AT1G19835
AT3G59060,AT1G19870
AT3G59060,AT1G20330
