TF,Target
AT2G43010,AT1G01250
AT2G43010,AT1G01260
AT2G43010,AT1G01380
AT2G43010,AT1G02340
AT2G43010,AT1G02350
AT2G43010,AT1G02660
AT2G43010,AT1G02670
AT2G43010,AT1G02990
AT2G43010,AT1G03610
AT2G43010,AT1G04171
AT2G43010,AT1G04180
AT2G43010,AT1G05100
AT2G43010,AT1G05805
AT2G43010,AT1G05835
AT2G43010,AT1G05870
AT2G43010,AT1G05880
AT2G43010,AT1G06160
AT2G43010,AT1G06840
AT2G43010,AT1G06850
AT2G43010,AT1G07090
AT2G43010,AT1G07100
AT2G43010,AT1G07420
AT2G43010,AT1G07670
AT2G43010,AT1G07680
AT2G43010,AT1G08560
AT2G43010,AT1G08570
AT2G43010,AT1G09970
AT2G43010,AT1G10550
AT2G43010,AT1G10560
AT2G43010,AT1G12110
AT2G43010,AT1G12920
AT2G43010,AT1G13080
AT2G43010,AT1G13240
AT2G43010,AT1G13245
AT2G43010,AT1G13260
AT2G43010,AT1G13740
AT2G43010,AT1G13950
AT2G43010,AT1G14330
AT2G43010,AT1G14340
AT2G43010,AT1G14330
AT2G43010,AT1G14340
AT2G43010,AT1G14350
AT2G43010,AT1G14910
AT2G43010,AT1G14920
AT2G43010,AT1G15550
AT2G43010,AT1G15750
AT2G43010,AT1G16190
AT2G43010,AT1G17230
AT2G43010,AT1G18400
AT2G43010,AT1G18460
AT2G43010,AT1G19180
AT2G43010,AT1G19310
AT2G43010,AT1G19320
AT2G43010,AT1G19450
AT2G43010,AT1G19460
AT2G43010,AT1G19790
AT2G43010,AT1G19800
AT2G43010,AT1G20330
AT2G43010,AT1G20330
AT2G43010,AT1G20450
AT2G43010,AT1G20460
AT2G43010,AT1G20890
AT2G43010,AT1G20900
AT2G43010,AT1G20980
AT2G43010,AT1G21060
AT2G43010,AT1G22360
AT2G43010,AT1G22600
AT2G43010,AT1G22610
AT2G43010,AT1G23020
AT2G43010,AT1G23030
AT2G43010,AT1G23700
AT2G43010,AT1G23710
AT2G43010,AT1G23860
AT2G43010,AT1G23870
AT2G43010,AT1G24590
AT2G43010,AT1G24600
AT2G43010,AT1G25275
AT2G43010,AT1G25510
AT2G43010,AT1G25520
AT2G43010,AT1G26270
AT2G43010,AT1G27210
AT2G43010,AT1G27990
AT2G43010,AT1G28330
AT2G43010,AT1G28335
AT2G43010,AT1G28360
AT2G43010,AT1G30330
AT2G43010,AT1G30330
AT2G43010,AT1G30340
AT2G43010,AT1G30440
AT2G43010,AT1G30690
AT2G43010,AT1G31030
AT2G43010,AT1G32060
AT2G43010,AT1G32710
AT2G43010,AT1G33060
AT2G43010,AT1G33070
AT2G43010,AT1G33170
AT2G43010,AT1G33240
AT2G43010,AT1G33450
AT2G43010,AT1G36160
AT2G43010,AT1G47560
AT2G43010,AT1G48330
AT2G43010,AT1G49500
AT2G43010,AT1G49510
AT2G43010,AT1G49610
AT2G43010,AT1G49780
AT2G43010,AT1G50450
AT2G43010,AT1G50460
AT2G43010,AT1G50575
AT2G43010,AT1G50580
AT2G43010,AT1G51130
AT2G43010,AT1G51355
AT2G43010,AT1G52185
AT2G43010,AT1G52190
AT2G43010,AT1G52890
AT2G43010,AT1G53170
AT2G43010,AT1G53460
AT2G43010,AT1G53470
AT2G43010,AT1G54210
AT2G43010,AT1G55020
AT2G43010,AT1G56590
AT2G43010,AT1G56600
AT2G43010,AT1G59910
AT2G43010,AT1G60150
AT2G43010,AT1G60180
AT2G43010,AT1G60190
AT2G43010,AT1G60430
AT2G43010,AT1G62480
AT2G43010,AT1G62950
AT2G43010,AT1G63030
AT2G43010,AT1G63040
AT2G43010,AT1G63670
AT2G43010,AT1G63680
AT2G43010,AT1G64355
AT2G43010,AT1G64385
AT2G43010,AT1G64650
AT2G43010,AT1G64660
AT2G43010,AT1G64980
AT2G43010,AT1G66890
AT2G43010,AT1G67340
AT2G43010,AT1G67590
AT2G43010,AT1G67880
AT2G43010,AT1G67890
AT2G43010,AT1G68020
AT2G43010,AT1G68490
AT2G43010,AT1G68560
AT2G43010,AT1G68660
AT2G43010,AT1G68670
AT2G43010,AT1G69010
AT2G43010,AT1G69030
AT2G43010,AT1G69260
AT2G43010,AT1G69295
AT2G43010,AT1G69570
AT2G43010,AT1G69690
AT2G43010,AT1G70260
AT2G43010,AT1G70270
AT2G43010,AT1G70560
AT2G43010,AT1G70940
AT2G43010,AT1G71520
AT2G43010,AT1G71960
AT2G43010,AT1G71970
AT2G43010,AT1G72450
AT2G43010,AT1G72460
AT2G43010,AT1G72470
AT2G43010,AT1G72490
AT2G43010,AT1G73120
AT2G43010,AT1G73130
AT2G43010,AT1G73480
AT2G43010,AT1G73660
AT2G43010,AT1G73670
AT2G43010,AT1G73960
AT2G43010,AT1G73965
AT2G43010,AT1G74088
AT2G43010,AT1G74500
AT2G43010,AT1G74690
AT2G43010,AT1G74700
AT2G43010,AT1G74950
AT2G43010,AT1G75170
AT2G43010,AT1G75380
AT2G43010,AT1G75388
AT2G43010,AT1G75430
AT2G43010,AT1G75440
AT2G43010,AT1G75450
AT2G43010,AT1G75460
AT2G43010,AT1G75480
AT2G43010,AT1G75490
AT2G43010,AT1G75530
AT2G43010,AT1G76500
AT2G43010,AT1G76620
AT2G43010,AT1G78060
AT2G43010,AT1G78070
AT2G43010,AT1G78080
AT2G43010,AT1G78700
AT2G43010,AT1G79150
AT2G43010,AT1G79360
AT2G43010,AT1G79370
AT2G43010,AT1G80280
AT2G43010,AT1G80290
AT2G43010,AT1G80460
AT2G43010,AT2G01140
AT2G43010,AT2G01150
AT2G43010,AT2G01570
AT2G43010,AT2G02860
AT2G43010,AT2G02870
AT2G43010,AT2G03120
AT2G43010,AT2G16594
AT2G43010,AT2G17290
AT2G43010,AT2G17720
AT2G43010,AT2G18090
AT2G43010,AT2G18140
AT2G43010,AT2G18170
AT2G43010,AT2G18550
AT2G43010,AT2G18700
AT2G43010,AT2G18780
AT2G43010,AT2G18790
AT2G43010,AT2G19180
AT2G43010,AT2G19460
AT2G43010,AT2G19806
AT2G43010,AT2G21510
AT2G43010,AT2G21520
AT2G43010,AT2G22630
AT2G43010,AT2G22795
AT2G43010,AT2G23230
AT2G43010,AT2G23450
AT2G43010,AT2G23460
AT2G43010,AT2G24570
AT2G43010,AT2G25460
AT2G43010,AT2G25470
AT2G43010,AT2G25900
AT2G43010,AT2G26120
AT2G43010,AT2G27229
AT2G43010,AT2G27250
AT2G43010,AT2G27260
AT2G43010,AT2G28056
AT2G43010,AT2G28060
AT2G43010,AT2G28070
AT2G43010,AT2G28355
AT2G43010,AT2G28890
AT2G43010,AT2G29980
AT2G43010,AT2G30150
AT2G43010,AT2G30340
AT2G43010,AT2G32415
AT2G43010,AT2G32430
AT2G43010,AT2G32660
AT2G43010,AT2G32670
