TF,Target
AT2G20180,AT1G01010
AT2G20180,AT1G01250
AT2G20180,AT1G01260
AT2G20180,AT1G01520
AT2G20180,AT1G01650
AT2G20180,AT1G01720
AT2G20180,AT1G02060
AT2G20180,AT1G02065
AT2G20180,AT1G02228
AT2G20180,AT1G02340
AT2G20180,AT1G02350
AT2G20180,AT1G02660
AT2G20180,AT1G02670
AT2G20180,AT1G02700
AT2G20180,AT1G02930
AT2G20180,AT1G02990
AT2G20180,AT1G03060
AT2G20180,AT1G03070
AT2G20180,AT1G03590
AT2G20180,AT1G03600
AT2G20180,AT1G03610
AT2G20180,AT1G03710
AT2G20180,AT1G04171
AT2G20180,AT1G04180
AT2G20180,AT1G04240
AT2G20180,AT1G04250
AT2G20180,AT1G04360
AT2G20180,AT1G04370
AT2G20180,AT1G04370
AT2G20180,AT1G05805
AT2G20180,AT1G05870
AT2G20180,AT1G05880
AT2G20180,AT1G06350
AT2G20180,AT1G06400
AT2G20180,AT1G06410
AT2G20180,AT1G06570
AT2G20180,AT1G06840
AT2G20180,AT1G06850
AT2G20180,AT1G07090
AT2G20180,AT1G07100
AT2G20180,AT1G07420
AT2G20180,AT1G07645
AT2G20180,AT1G07660
AT2G20180,AT1G07670
AT2G20180,AT1G07680
AT2G20180,AT1G08180
AT2G20180,AT1G08190
AT2G20180,AT1G08560
AT2G20180,AT1G08570
AT2G20180,AT1G09260
AT2G20180,AT1G09520
AT2G20180,AT1G09530
AT2G20180,AT1G10090
AT2G20180,AT1G10550
AT2G20180,AT1G10560
AT2G20180,AT1G10682
AT2G20180,AT1G11210
AT2G20180,AT1G11880
AT2G20180,AT1G11890
AT2G20180,AT1G12110
AT2G20180,AT1G12420
AT2G20180,AT1G12920
AT2G20180,AT1G13240
AT2G20180,AT1G13245
AT2G20180,AT1G13260
AT2G20180,AT1G13740
AT2G20180,AT1G13950
AT2G20180,AT1G14350
AT2G20180,AT1G14910
AT2G20180,AT1G14920
AT2G20180,AT1G14910
AT2G20180,AT1G14920
AT2G20180,AT1G15320
AT2G20180,AT1G15330
AT2G20180,AT1G15550
AT2G20180,AT1G15750
AT2G20180,AT1G16190
AT2G20180,AT1G16730
AT2G20180,AT1G16740
AT2G20180,AT1G16850
AT2G20180,AT1G16858
AT2G20180,AT1G17110
AT2G20180,AT1G17120
AT2G20180,AT1G17400
AT2G20180,AT1G17940
AT2G20180,AT1G17950
AT2G20180,AT1G18100
AT2G20180,AT1G18120
AT2G20180,AT1G18400
AT2G20180,AT1G18460
AT2G20180,AT1G18710
AT2G20180,AT1G18710
AT2G20180,AT1G18740
AT2G20180,AT1G18890
AT2G20180,AT1G18900
AT2G20180,AT1G18940
AT2G20180,AT1G19110
AT2G20180,AT1G19210
AT2G20180,AT1G19310
AT2G20180,AT1G19320
AT2G20180,AT1G19450
AT2G20180,AT1G19460
AT2G20180,AT1G19490
AT2G20180,AT1G19530
AT2G20180,AT1G19640
AT2G20180,AT1G19650
AT2G20180,AT1G19660
AT2G20180,AT1G19790
AT2G20180,AT1G19800
AT2G20180,AT1G19835
AT2G20180,AT1G19850
AT2G20180,AT1G19970
AT2G20180,AT1G19980
AT2G20180,AT1G20330
AT2G20180,AT1G20450
AT2G20180,AT1G20460
AT2G20180,AT1G20450
AT2G20180,AT1G20460
AT2G20180,AT1G20610
AT2G20180,AT1G20620
AT2G20180,AT1G20890
AT2G20180,AT1G21040
AT2G20180,AT1G21050
AT2G20180,AT1G21060
AT2G20180,AT1G21830
AT2G20180,AT1G21835
AT2G20180,AT1G22060
AT2G20180,AT1G22065
AT2G20180,AT1G22360
AT2G20180,AT1G22600
AT2G20180,AT1G22610
AT2G20180,AT1G22640
AT2G20180,AT1G23020
AT2G20180,AT1G23030
AT2G20180,AT1G23860
AT2G20180,AT1G23870
AT2G20180,AT1G24170
AT2G20180,AT1G24590
AT2G20180,AT1G24600
AT2G20180,AT1G25220
AT2G20180,AT1G25275
AT2G20180,AT1G26670
AT2G20180,AT1G27050
AT2G20180,AT1G27210
AT2G20180,AT1G27990
AT2G20180,AT1G28290
AT2G20180,AT1G28330
AT2G20180,AT1G28335
AT2G20180,AT1G28960
AT2G20180,AT1G29000
AT2G20180,AT1G29395
AT2G20180,AT1G29860
AT2G20180,AT1G30330
AT2G20180,AT1G30340
AT2G20180,AT1G30820
AT2G20180,AT1G30825
AT2G20180,AT1G31030
AT2G20180,AT1G32060
AT2G20180,AT1G32550
AT2G20180,AT1G32560
AT2G20180,AT1G32710
AT2G20180,AT1G33060
AT2G20180,AT1G33070
AT2G20180,AT1G33240
AT2G20180,AT1G33450
AT2G20180,AT1G34370
AT2G20180,AT1G36936
AT2G20180,AT1G36940
AT2G20180,AT1G44170
AT2G20180,AT1G48930
AT2G20180,AT1G49500
AT2G20180,AT1G49510
AT2G20180,AT1G49610
AT2G20180,AT1G49780
AT2G20180,AT1G50450
AT2G20180,AT1G50460
AT2G20180,AT1G51130
AT2G20180,AT1G51940
AT2G20180,AT1G51950
AT2G20180,AT1G52430
AT2G20180,AT1G52440
AT2G20180,AT1G52855
AT2G20180,AT1G52880
AT2G20180,AT1G52890
AT2G20180,AT1G53170
AT2G20180,AT1G53460
AT2G20180,AT1G53470
AT2G20180,AT1G53560
AT2G20180,AT1G53570
AT2G20180,AT1G53670
AT2G20180,AT1G53750
AT2G20180,AT1G54120
AT2G20180,AT1G54210
AT2G20180,AT1G54860
AT2G20180,AT1G54870
AT2G20180,AT1G55020
AT2G20180,AT1G55180
AT2G20180,AT1G55190
AT2G20180,AT1G55360
AT2G20180,AT1G56220
AT2G20180,AT1G56330
AT2G20180,AT1G56340
AT2G20180,AT1G56430
AT2G20180,AT1G56590
AT2G20180,AT1G56600
AT2G20180,AT1G60180
AT2G20180,AT1G60190
AT2G20180,AT1G60430
AT2G20180,AT1G60600
AT2G20180,AT1G61340
AT2G20180,AT1G61900
AT2G20180,AT1G61910
AT2G20180,AT1G62420
AT2G20180,AT1G62480
AT2G20180,AT1G62950
AT2G20180,AT1G63030
AT2G20180,AT1G63040
AT2G20180,AT1G63090
AT2G20180,AT1G64080
AT2G20180,AT1G64090
AT2G20180,AT1G64255
AT2G20180,AT1G64355
AT2G20180,AT1G64385
AT2G20180,AT1G64470
AT2G20180,AT1G64980
AT2G20180,AT1G65110
AT2G20180,AT1G65113
AT2G20180,AT1G65830
AT2G20180,AT1G65840
AT2G20180,AT1G66560
AT2G20180,AT1G66890
AT2G20180,AT1G67265
AT2G20180,AT1G67340
AT2G20180,AT1G67340
